id,fake-company-name,description,tagline,company-email,business number,Restricted
1,Bergstrom PLC,Reactive Content-Based Complexity,Drive Leading-Edge Architectures,becker.jeremie@nikolaus.com,682216138,No
2,Braun-Satterfield,Up-Sized Radical Opensystem,Maximize Back-End Architectures,sylvia44@gibson.com,156693768,No
3,"Huels, Kirlin and Towne",Ameliorated Static Analyzer,Synthesize Intuitive Eyeballs,tromaguera@oconnell.com,427431189,No
4,Boehm PLC,Reduced Assymetric Utilisation,Scale Synergistic Architectures,sanford.cyril@morar.com,252639041,No
5,Auer-Kris,Reactive System-Worthy Flexibility,Harness Innovative Models,jamal82@jaskolski.info,36-2420117,No
6,"Bins, Kohler and Kuhlman",Enterprise-Wide Optimal Matrices,Drive B2C Models,dstokes@west.com,88-3175292,No
7,Veum-Tromp,Right-Sized Regional Service-Desk,Embrace Clicks-And-Mortar Paradigms,lowe.ivy@gleason.biz,91-2221616,No
8,"Steuber, Ernser and McCullough",Ergonomic Hybrid Securedline,Maximize Web-Enabled Mindshare,daija22@weimann.biz,53-6119469,No
9,"Labadie, O'Hara and Willms",Fundamental Uniform Throughput,Repurpose Back-End Experiences,lexie41@stehr.com,64-2297252,No
10,"Leuschke, Stamm and Green",User-Friendly Global Encryption,Synergize Holistic Portals,berenice64@krajcik.com,441172968,Yes
11,Streich LLC,Fully-Configurable Foreground Orchestration,Revolutionize Efficient Markets,daron.lang@kshlerin.biz,93-7007013,No
12,"Koepp, Hansen and Balistreri",Versatile Modular Graphicinterface,Embrace Customized Content,bayer.sabrina@okuneva.com,03-3449160,No
13,"Kautzer, Gulgowski and Balistreri",Horizontal Well-Modulated Website,Orchestrate Visionary Communities,zion.crist@emmerich.net,60-5494688,No
14,Fritsch-Kulas,Front-Line Motivating Moratorium,Maximize User-Centric Systems,hellen48@deckow.com,65-7215723,No
15,"Stokes, Lockman and Toy",Secured Stable Function,Grow Global Deliverables,colt.nicolas@connelly.com,36-4758852,No
16,Greenholt-Funk,Seamless Cohesive Middleware,Grow Extensible E-Markets,effertz.verner@mraz.com,41-3786838,No
17,"Rice, Erdman and Wyman",Multi-Lateral Neutral Moratorium,Enable Global Technologies,bruen.layne@kreiger.com,12-6995584,No
18,Shanahan-Hilpert,Multi-Tiered Real-Time Alliance,Syndicate Back-End Models,yasmin16@bins.com,46-1899567,No
19,Jones LLC,Adaptive Nextgeneration Analyzer,Transform Back-End Infrastructures,xbuckridge@harris.biz,75-4068081,Yes
20,Nicolas Ltd,De-Engineered Bifurcated Info-Mediaries,Incentivize Frictionless Initiatives,kub.delbert@torphy.com,10-3111490,No
21,Feest Group,Quality-Focused Incremental Core,Revolutionize Sexy Action-Items,jacynthe84@raynor.net,36-5867370,No
22,Flatley-Halvorson,Persevering Web-Enabled Synergy,Target Leading-Edge Portals,okihn@kris.info,48-3522918,No
23,Wilderman LLC,User-Friendly Radical Opensystem,Evolve Revolutionary Interfaces,jacinto.eichmann@moen.net,23-5247476,Yes
